Date,TYO,F,GM,HMC,STLA
2014-12-24,19.29,15.3,33.43,30.37,11.88
2014-12-26,19.1544,15.45,33.73,30.33,11.88
2014-12-29,18.91,15.52,34.6,30.04,11.76
2014-12-30,18.94,15.5,35.09,29.6,11.78
2014-12-31,18.84,15.5,34.91,29.52,11.58
2015-01-02,18.52,15.36,34.84,29.59,11.69
2015-01-05,18.253,14.76,34.33,28.98,11.25
2015-01-06,17.88,14.62,34.85,28.82,11.59
2015-01-07,17.851,15.04,35.84,29.11,11.58
2015-01-08,18.09,15.42,36.2,29.48,11.69
2015-01-09,17.8001,15.21,35.59,29.41,11.85
2015-01-12,17.6399,15.22,35.84,29.41,12.05
2015-01-13,17.6,15.21,35.25,29.81,12.11
2015-01-14,17.3499,15.11,34.3,30.25,12.06
2015-01-15,16.91,14.86,33.43,30.3,11.81
2015-01-16,17.24,15.02,33.68,30.84,12.1
2015-01-20,17.12,15.01,33.93,30.78,12.44
2015-01-21,17.372,14.97,33.89,31.09,12.36
2015-01-22,17.46,15.03,33.82,31.28,12.71
2015-01-23,17.23,14.91,33.75,31.17,12.9
2015-01-26,17.2013,15.08,33.7,31.06,13.55
2015-01-27,17.169,14.85,33.42,30.83,13.2
2015-01-28,16.788,14.46,32.84,30.48,12.91
2015-01-29,16.9055,14.85,33.16,30.63,13.33
2015-01-30,16.51,14.71,32.62,30.22,13.21
2015-02-02,16.61,15.27,33.11,31.59,13.5
2015-02-03,16.921,15.65,33.98,31.23,13.95
2015-02-04,16.93,15.87,35.83,31.32,13.96
2015-02-05,17.06,15.85,36.25,31.99,14.07
2015-02-06,17.61,15.86,36.0,32.03,13.6
2015-02-09,17.6299,15.92,36.0,31.93,13.31
2015-02-10,17.77,16.09,37.52,32.49,13.82
2015-02-11,17.7601,16.25,37.67,32.5,13.77
2015-02-12,17.79,16.36,38.02,32.73,14.47
2015-02-13,17.935,16.3,37.62,32.87,14.53
2015-02-17,18.3301,16.11,37.24,33.13,14.44
2015-02-18,18.1,16.21,37.19,33.25,14.7
2015-02-19,18.204,16.43,37.51,33.37,15.1
2015-02-20,18.23,16.4,37.65,33.51,15.5
2015-02-23,17.99,16.38,37.69,33.3,15.56
2015-02-24,17.6101,16.36,37.75,33.19,15.51
